frame,body_part,x,y,z,left_contact,right_contact
0,lhand,0.018436583621065664,0.1448167146262254,-0.11033837678876872,1,1
1,lhand,0.01881077635738071,0.14423728902963256,-0.10963563595150679,1,1
2,lhand,0.02002400978797432,0.1464250738506633,-0.10930165352583686,1,1
3,lhand,0.02117722433068428,0.1469733801763456,-0.10888750419570511,1,1
4,lhand,0.022700874228024692,0.14760750657001712,-0.10773117108190068,1,1
5,lhand,0.02526038369826667,0.14697229820686455,-0.10664695077454493,1,1
6,lhand,0.029098301974856272,0.14362210695571093,-0.1060701000240924,1,1
7,lhand,0.035036812800984876,0.14093837341255186,-0.1023407497128824,1,1
8,lhand,0.03985018969908424,0.13746583721628042,-0.0953360801623278,1,1
9,lhand,0.04480127294163287,0.132889664718493,-0.08549389618281535,1,1
10,lhand,0.047178812400812925,0.1302989616338965,-0.07286625603606729,1,1
11,lhand,0.049693793504565924,0.1256326413571038,-0.059654733126534125,1,1
12,lhand,0.05240221609721729,0.1221386315687312,-0.04630136276668527,1,1
13,lhand,0.05453480130800196,0.11802970293853893,-0.0327874603493447,1,1
14,lhand,0.05577242848874944,0.11145973695512437,-0.025549106573061746,1,1
15,lhand,0.05622750092930705,0.1065442873295332,-0.01812991554238919,1,1
16,lhand,0.057388132926288964,0.09946730369329235,-0.013610184165198963,1,1
17,lhand,0.059250776199075546,0.0948477490569711,-0.0062048116716195215,1,1
18,lhand,0.06158325329386297,0.08593307457525033,0.001012235052606933,1,1
19,lhand,0.0669434055512107,0.07980971852030422,0.010837211796517504,1,0
20,lhand,0.07163350721187385,0.07738304197860392,0.02006567065983518,1,0
21,lhand,0.07861801480777489,0.075157902710295,0.026378559066079554,1,0
22,lhand,0.08435559295688257,0.0729853474712038,0.03507861273997355,1,0
23,lhand,0.0863015120470075,0.07372938892889624,0.040972508983192775,1,0
24,lhand,0.09309536560051138,0.0758809298704198,0.042524969071162266,1,0
25,lhand,0.09542808268468522,0.07846188626196457,0.04319430174970067,1,0
26,lhand,0.10136173038781603,0.0831133031291473,0.040358054025958365,1,0
27,lhand,0.10138711759283159,0.08467185886551948,0.03502974025015572,1,0
28,lhand,0.10233984395588358,0.08779717518353844,0.030979097404812708,1,0
29,lhand,0.09790778076146799,0.08611799288327836,0.02776968562680697,1,0
30,lhand,0.09713399438227532,0.08529097784632286,0.028803138173610875,1,0
31,lhand,0.09351655021120678,0.08157863767847237,0.027089233994261053,1,0
32,lhand,0.09018840239978079,0.07933798658876448,0.02890372037040221,1,0
33,lhand,0.08777195711741806,0.07595923932410964,0.02684055418481917,1,0
34,lhand,0.08294769125075513,0.07368717349114803,0.023567408681925292,1,0
35,lhand,0.08190095694059694,0.07255092710580066,0.020408692745692236,1,0
36,lhand,0.07640603228257214,0.07293240782518325,0.017267244862272074,1,0
37,lhand,0.07488767150492721,0.0741412228093036,0.015088080372785515,1,0
38,lhand,0.06922160573827982,0.0754866838137611,0.008946389621785095,1,0
39,lhand,0.06568356623007421,0.07754878656600712,0.00618936331189137,1,0
40,lhand,0.061048745658432255,0.07972306560465264,-0.00039813780813062125,1,0
41,lhand,0.05608758727808302,0.08399001233521255,-0.00520279961294502,1,0
42,lhand,0.0520307573901532,0.0880053333370667,-0.01322516015569603,1,0
43,lhand,0.04886341286001589,0.09246429818155016,-0.020804390442551494,1,1
44,lhand,0.04817003527235872,0.09540512403286013,-0.029181704366818,1,1
45,lhand,0.045149409660362044,0.09742652961830464,-0.03692582542214564,1,1
46,lhand,0.045362515219233804,0.10033577800890413,-0.04038428851556258,1,1
47,lhand,0.04558199984544202,0.10358967821218751,-0.04404757515431093,1,1
48,lhand,0.04673889712397593,0.10958452092221813,-0.04704732174340042,1,1
49,lhand,0.04808919765238708,0.1163909349410864,-0.050316935717130994,1,1
50,lhand,0.04821797541553147,0.1227845367927859,-0.05788692921983957,1,1
51,lhand,0.047297620536966394,0.129522700770909,-0.06516856263599997,1,1
52,lhand,0.04420533529808783,0.1358156060380171,-0.07391137436001613,1,1
