frame,body_part,x,y,z,left_contact,right_contact
0,lhand,0.005577510401856188,0.17289989844180725,-0.09353594688800775,1,1
1,lhand,0.005698197741235124,0.1727232450486107,-0.09342523603491024,1,1
2,lhand,0.006617851814340964,0.17298906127220517,-0.09319775803221163,1,1
3,lhand,0.006488642872469863,0.17234771757490736,-0.09224688026965329,1,1
4,lhand,0.008211863229347992,0.1718091993770121,-0.09175301745967138,1,1
5,lhand,0.008931835537891758,0.17203070276030064,-0.09141105046509769,1,1
6,lhand,0.00944117991412248,0.17153794974299533,-0.09174561654180542,1,1
7,lhand,0.010124277270066193,0.17183113150183726,-0.09197347402590401,1,1
8,lhand,0.011149867145943466,0.17182130645644103,-0.09226164883653926,1,1
9,lhand,0.011913852787116763,0.17182740935012036,-0.0924725847360463,1,1
10,lhand,0.013458755864630599,0.17178504893384217,-0.0925475945034629,1,1
11,lhand,0.01448504041701553,0.17132050672911664,-0.09245598893336429,1,1
12,lhand,0.0159418099218726,0.17108934218705468,-0.09257140799505512,1,1
13,lhand,0.016588163439193386,0.17100603359648803,-0.09211596436806975,1,1
14,lhand,0.017187655625216867,0.17083302533548997,-0.09202411046190634,1,1
15,lhand,0.017184702249435524,0.17046079991525542,-0.09224176463837491,1,1
16,lhand,0.01686409291694009,0.17014524569549386,-0.09305100769271361,1,1
17,lhand,0.016129609802492624,0.16949149714999054,-0.09373168195934248,1,1
18,lhand,0.014566176935842438,0.1681457941210081,-0.0946158158524402,1,1
19,lhand,0.013315290000402415,0.16622987045967522,-0.09554707747937233,1,1
20,lhand,0.012391464330480606,0.1647350270637461,-0.09645664066262653,1,1
21,lhand,0.011447632023722634,0.1638075712601425,-0.09677204956707681,1,1
22,lhand,0.011449082126908379,0.1635163174744247,-0.09707057640856188,1,1
23,lhand,0.01243987294800998,0.16247337174950482,-0.09696568205748625,1,1
24,lhand,0.0138591667422953,0.1623743280574908,-0.09616293137541491,1,1
25,lhand,0.015674742398547215,0.16195041195824322,-0.09515977871137604,1,1
26,lhand,0.018226599951134403,0.16118647362685445,-0.09357447467058186,1,1
27,lhand,0.021746940462383055,0.15966720092361733,-0.09170860891873332,1,1
28,lhand,0.02604024466391989,0.1578851624215423,-0.08955626079230528,1,1
29,lhand,0.030646776341199868,0.15454205305980814,-0.0881919952040352,1,1
30,lhand,0.035477522360919826,0.15071799742828448,-0.08693498157395668,1,1
31,lhand,0.04156588828819954,0.14677381887647822,-0.08418331152582482,1,1
32,lhand,0.051098861940565954,0.14292775919231607,-0.07703186025457442,1,1
33,lhand,0.06279615884562267,0.13626293313074625,-0.06587807422877177,1,1
34,lhand,0.07362273192562072,0.12821306106958769,-0.04888444947932417,1,1
35,lhand,0.08467540743671612,0.11744580196057042,-0.023493085528087872,1,1
36,lhand,0.0930978683489508,0.10809990564257274,0.009948579700049713,1,1
37,lhand,0.09403918055636164,0.09917051419934256,0.04445071626865207,1,1
