frame,body_part,x,y,z,left_contact,right_contact
0,lhand,0.036189678094226706,0.29297993250209975,0.008129674340923064,1,1
1,lhand,0.03175371593670423,0.29038112414217665,0.0019312503939469816,0,1
2,lhand,0.03892448123151542,0.28501892557028036,-0.009453895604280761,0,1
3,lhand,0.04230560143905766,0.2859789353796244,-0.005266819486383682,0,1
4,lhand,0.054539025368403146,0.28554624158236264,-0.0004205408306933653,0,1
5,lhand,0.06403851134539901,0.28290511214914665,0.0015452691656185347,0,1
6,lhand,0.08031758125646558,0.2740094427399311,-0.0017692357200846526,0,1
7,lhand,0.1007746809757403,0.2619200921782605,-0.0058207013652746,0,1
8,lhand,0.12121039622944685,0.24818463909753175,-0.006475001452913312,0,1
9,lhand,0.13897442576694463,0.23185226354121025,-0.008186479466183373,0,1
10,lhand,0.15037566922801823,0.21823806940304372,-0.005836945999649755,0,1
11,lhand,0.1609752957852221,0.20637686129967145,-0.00037289260169069693,0,1
12,lhand,0.16400470768301145,0.20028552236771693,0.0047833058970001355,0,1
13,lhand,0.16593220532846975,0.19652814808287974,0.01279074189621051,0,1
14,lhand,0.16338911394850703,0.20376663493690209,0.0213922518114679,0,1
15,lhand,0.15747207735013358,0.2209982775194096,0.03147345498622854,0,1
16,lhand,0.14997363781082643,0.2371395034373381,0.04894546181900367,0,1
17,lhand,0.14126949338953598,0.2532526472501392,0.07627808436217895,0,1
18,lhand,0.13403508654586085,0.2636279515720195,0.10998112547577017,0,1
19,lhand,0.12850488792369577,0.2646451962789882,0.14505147331870819,0,1
20,lhand,0.131697883768424,0.2595693433162724,0.1718443326666126,0,1
21,lhand,0.13373145527670996,0.25159715605640653,0.19797314385145393,0,1
22,lhand,0.1393386999139643,0.24196585083354005,0.2189370461689507,0,1
23,lhand,0.1465111046265339,0.23123608398110085,0.2342368624675649,0,1
24,lhand,0.15382596931751402,0.22112499655146053,0.24621148848243002,0,1
25,lhand,0.16180999327769802,0.21019245639450154,0.2517205791089547,0,1
26,lhand,0.16769720907178176,0.2037487332593343,0.25323116159963677,0,1
27,lhand,0.17337808814442857,0.1998184235789623,0.25315916416426915,0,1
28,lhand,0.175492226108881,0.19906995671386876,0.25176675820467875,0,1
29,lhand,0.1765759589258707,0.20050377257849428,0.2475595076861725,0,1
30,lhand,0.17620477810705798,0.2068855227770318,0.23782143479252205,0,1
31,lhand,0.17512791169580277,0.21429048715021984,0.22206677439624123,0,1
32,lhand,0.17154447023444241,0.22305944730538857,0.20332421849581753,0,1
33,lhand,0.16582504185712538,0.23077018784840655,0.18435490883779532,0,1
34,lhand,0.15967618057420008,0.23305093235041643,0.16698143270892254,0,1
35,lhand,0.152433599132343,0.2350260220498316,0.1566426256075001,0,1
36,lhand,0.14663308221756657,0.23596855834584463,0.15166739201752313,0,1
37,lhand,0.14236939972365417,0.23709779303732365,0.1484634256623403,0,1
38,lhand,0.14091151185496342,0.23867123973018733,0.14633231431933644,0,1
39,lhand,0.14078288487031312,0.24176403106932637,0.1429518285189964,0,1
40,lhand,0.1396609536955642,0.24655817086768642,0.1388868162585078,0,1
41,lhand,0.13909431559676605,0.25094591710486397,0.13429679030827985,0,1
42,lhand,0.13860771438582453,0.25383992929726784,0.12972552195619794,0,1
43,lhand,0.13845559322477802,0.2554887917580622,0.1248820300972508,0,1
44,lhand,0.13868099100487713,0.2561586834680166,0.12118885745503401,0,1
45,lhand,0.13954286180281336,0.2566075249560613,0.11763955790843347,0,1
46,lhand,0.14149470840838632,0.25508575654867627,0.11380128305580206,0,1
47,lhand,0.14216877136755232,0.2526487987062495,0.11027628293465004,0,1
48,lhand,0.14330619427397479,0.24957165375525023,0.10550184777511666,0,1
49,lhand,0.14329308783521283,0.2463513587678181,0.10081967196696305,0,1
50,lhand,0.14292598533805267,0.24459143645966758,0.096928268678526,0,1
51,lhand,0.140554762519985,0.24397375527638912,0.09312328313988412,0,1
52,lhand,0.13804845003470423,0.24410089713024036,0.08970829768570877,0,1
53,lhand,0.13382395997052945,0.24534116782692303,0.08693778739458205,0,1
54,lhand,0.1280464050702249,0.24803525804149582,0.08483564365784659,0,1
55,lhand,0.12116593211612924,0.25107391402278906,0.08374632922865102,0,1
56,lhand,0.1122156882329301,0.2551919176298769,0.08487059767544142,0,1
57,lhand,0.10283200464481368,0.25893214999333236,0.08644553934077448,0,1
58,lhand,0.09497222401255254,0.26189693846983014,0.09052468404857086,0,1
59,lhand,0.08711190053678484,0.2655313303046252,0.09318623728386072,0,1
60,lhand,0.07860886575334393,0.2694658515691555,0.09588748893379517,0,1
61,lhand,0.07237177580368842,0.2721742585055864,0.09686508076944661,0,1
62,lhand,0.06843530731513157,0.2741052984939774,0.09705840812509657,0,1
63,lhand,0.06631903685416014,0.2746689141592096,0.09457659722569908,0,1
64,lhand,0.06716375810488925,0.27400544821495404,0.09267641989073615,0,1
65,lhand,0.06834915594415593,0.2719532334055236,0.09019946752882144,0,1
66,lhand,0.07040240081342637,0.26929881355074803,0.08711669766645602,0,1
67,lhand,0.07195150072240399,0.26633538017946584,0.08076063368221546,0,1
68,lhand,0.07043171378684732,0.2632892486700007,0.07232198337540192,0,1
69,lhand,0.06640567392446654,0.2604437908074091,0.06395213935353117,0,1
70,lhand,0.06294178525104614,0.2587241914449031,0.05488600691396975,0,1
