frame,body_part,x,y,z,left_contact,right_contact
0,lhand,-0.010773124761808278,0.16481364389714645,-0.10369452690363344,1,1
1,lhand,-0.01038882825345426,0.1637792078219336,-0.10371698825644461,1,1
2,lhand,-0.010598361900844441,0.16365033197912748,-0.10455024658805735,1,1
3,lhand,-0.01277743260136837,0.16304792615692848,-0.10532599147912128,1,1
4,lhand,-0.011452073974930574,0.16335491494531798,-0.10486084187292102,1,1
5,lhand,-0.011428430280721276,0.16432885946956854,-0.10431583620394101,1,1
6,lhand,-0.011535520848955094,0.1650536807351446,-0.10460866491444422,1,1
7,lhand,-0.011238591185168859,0.16579241920814258,-0.10451143961627132,1,1
8,lhand,-0.010958012339258853,0.16615044783490793,-0.1045059788338136,1,1
9,lhand,-0.010857678278243195,0.1660143143550158,-0.10453334308770627,1,1
10,lhand,-0.010648952217475555,0.16593168002764325,-0.10411397318240109,1,1
11,lhand,-0.010077598108200088,0.1650972493940822,-0.10435993419176089,1,1
12,lhand,-0.008842023921743256,0.16384588908202183,-0.10492763185726847,1,1
13,lhand,-0.006991127918382356,0.1623333060682074,-0.10534928631191573,1,1
14,lhand,-0.005495672069195642,0.16038833703203179,-0.10663158230538657,1,1
15,lhand,-0.004858136602740752,0.1596531025557987,-0.10721040425708023,1,1
16,lhand,-0.0046787118072658465,0.15845902055349126,-0.1083002939806696,1,1
17,lhand,-0.00510614256396312,0.15765227435000678,-0.10914095159334808,1,1
18,lhand,-0.006540522495967961,0.1565503058023265,-0.10979594028638091,1,1
19,lhand,-0.008580431023139996,0.15444471250248112,-0.11156167720835443,1,1
20,lhand,-0.011045471100723903,0.15329502955049143,-0.11264496416385475,1,1
21,lhand,-0.014164895113996441,0.15104788229551197,-0.11400407085664677,1,1
22,lhand,-0.017316992928090073,0.14920723421388993,-0.11535935930977377,1,1
23,lhand,-0.019780681564278146,0.14645622516182644,-0.11712859245252778,1,1
24,lhand,-0.021661672139290596,0.14360356803087782,-0.11897281752189143,1,1
25,lhand,-0.022675492547652807,0.14153697239443333,-0.12054423561489287,1,1
26,lhand,-0.02240593786040144,0.13907514223996947,-0.12179931110889507,1,1
27,lhand,-0.02209874606769873,0.1380913386949256,-0.12185816079441746,1,1
28,lhand,-0.02098424579438486,0.13735934353208473,-0.12136936232783581,1,1
29,lhand,-0.019811941498763128,0.13624385206077866,-0.12044894636512637,1,1
30,lhand,-0.017988754098244533,0.13643307137915295,-0.11821173954320177,1,1
31,lhand,-0.015144133806575553,0.13645404555655985,-0.11457503613821166,1,1
32,lhand,-0.009857244761524248,0.13608497933018182,-0.10941981035898486,1,1
33,lhand,0.003110319201696417,0.13391813432255306,-0.1024678841787359,1,1
34,lhand,0.02006582396425069,0.1299556500659671,-0.0875484009232831,1,1
35,lhand,0.038887302383540226,0.11954926937105742,-0.0633064461825599,1,1
36,lhand,0.05260719687264559,0.10980871370457797,-0.033370549274634835,1,1
37,lhand,0.05923626198851245,0.09563878740340133,0.0017071785352111503,1,1
38,lhand,0.0594757408375907,0.08714912815918074,0.03609423446823878,1,1
39,lhand,0.055683458533914654,0.08362693994098189,0.06275600035003986,1,1
40,lhand,0.05308052252991784,0.08252053817665009,0.08252192298019939,1,1
41,lhand,0.0535904100427267,0.0847554176619999,0.0958989569478905,1,1
42,lhand,0.05668647477202094,0.08598582506014353,0.10622041646776806,1,1
