frame,body_part,x,y,z,left_contact,right_contact
0,lhand,0.09289795057714947,0.1656446173285078,-0.09610448453837088,1,1
1,lhand,0.08463090603952916,0.1682055638248318,-0.09714989370977857,1,1
2,lhand,0.08299445894283788,0.16708595000199064,-0.10093501834017611,1,1
3,lhand,0.08253784333982742,0.16971156878706675,-0.09986495144941757,1,1
4,lhand,0.08199843789873969,0.16878713390613376,-0.09975355416288044,1,1
5,lhand,0.08307840646988271,0.16874262199663215,-0.0992070696030819,1,1
6,lhand,0.08337498821542533,0.16907638051752277,-0.09808153838988327,1,1
7,lhand,0.08562905951703129,0.16973274428274945,-0.09650840546411572,1,1
8,lhand,0.08803501899616525,0.17179055940127055,-0.09413774659791682,1,1
9,lhand,0.09145024698519798,0.1729492184694293,-0.09161655529918307,1,1
10,lhand,0.09633850165809534,0.17526713368375288,-0.08746055397134421,1,1
11,lhand,0.10063095891215273,0.17694374392853238,-0.08345811465933382,1,1
12,lhand,0.10651308000443996,0.17821565093348066,-0.07862685913931225,1,1
13,lhand,0.11213098560984973,0.17813971582360338,-0.07378776680184333,1,1
14,lhand,0.11720772690683509,0.17677373070100905,-0.07030674932287664,1,1
15,lhand,0.12359859248190354,0.17603642776058465,-0.06686388435364474,1,1
16,lhand,0.12678690552985034,0.17425605514761472,-0.06586790492514552,1,1
17,lhand,0.13133119391176146,0.1729701093358435,-0.06471235730014097,1,1
18,lhand,0.13434151419970985,0.172537757527554,-0.06294658844566986,1,1
19,lhand,0.14048303060100772,0.17286686033021817,-0.05721241951371698,1,1
20,lhand,0.14777717206017527,0.17308363826968848,-0.04932756490466829,1,1
21,lhand,0.1560080350838351,0.17332428404024336,-0.03818896115313573,1,1
22,lhand,0.16311079642990367,0.1724571679957632,-0.024344425159969534,1,1
23,lhand,0.17219470666251502,0.16893519196166806,-0.004370552663363905,1,1
24,lhand,0.17624064880793178,0.16357844341927208,0.01735520336611509,1,1
25,lhand,0.1801151548479425,0.15657278600147193,0.042708686775453975,1,1
26,lhand,0.17952740762011515,0.1477924335338302,0.07022141351667888,1,1
27,lhand,0.17755900727073726,0.13667542596030496,0.1037928543095174,1,1
28,lhand,0.1693721917143251,0.12677750200714066,0.13902554737659495,1,1
29,lhand,0.15819419776068333,0.11650743502792121,0.16983905801425292,1,1
30,lhand,0.14455998912528623,0.10671023309114441,0.19828181842215192,1,1
31,lhand,0.13480994386269018,0.10155424601011925,0.21952889938479503,1,1
32,lhand,0.13022112652654963,0.09488928975568284,0.23237703960604683,1,1
33,lhand,0.12902299623581664,0.09078362084499052,0.24078464556124854,1,1
34,lhand,0.1296486486463266,0.08827103247391278,0.24604761612628712,1,1
35,lhand,0.12831925577561917,0.08675147547472614,0.25087341441236244,1,1
36,lhand,0.12573732604238494,0.08606188674508614,0.25557610578782436,1,1
37,lhand,0.12331671814217196,0.08533656583374122,0.2612851538346337,1,1
38,lhand,0.1211639281100583,0.0857596187424945,0.2668415231091539,1,1
39,lhand,0.1202344011403446,0.08475155541646189,0.27270901771841194,1,1
40,lhand,0.12011970726802913,0.08544986249187184,0.27749563844697406,1,1
41,lhand,0.1201367182166614,0.08579147113703187,0.28175755893032095,1,1
42,lhand,0.11863228734479604,0.08754189844868603,0.28448839429028083,1,1
43,lhand,0.11728684160527739,0.08825186766055623,0.28748956649908664,1,1
44,lhand,0.11407539725857124,0.08801891758599671,0.2921206685331498,1,1
45,lhand,0.10966616728437298,0.0873105582619893,0.2981270157652373,1,1
46,lhand,0.10550583725658133,0.08511761574764368,0.30485217354986455,1,1
47,lhand,0.09878747802735718,0.08185877870435673,0.31585807454363624,1,1
48,lhand,0.09030327503829635,0.07546751406824172,0.32860179984500193,1,1
49,lhand,0.08158492844858267,0.06610183267056415,0.342477499602201,1,1
50,lhand,0.07406768266750338,0.05711198993049833,0.35477834616384085,1,1
51,lhand,0.06860121412943401,0.04860920954982004,0.36413343552996913,1,1
52,lhand,0.0629992304749535,0.04249635547916808,0.36945295326212985,1,1
53,lhand,0.05822282599561785,0.03807103380927166,0.37254166707587344,1,1
54,lhand,0.055989695472031614,0.0362491533990007,0.37316573570962497,1,1
55,lhand,0.055015420855833004,0.03526184617890478,0.37344878041336005,1,1
56,lhand,0.057659821190569754,0.035057678437819095,0.37283666056937553,1,1
57,lhand,0.057855618360766775,0.03336488161698141,0.3728784199047083,1,1
58,lhand,0.059818289921526394,0.03085590860395704,0.3710872486026535,1,1
59,lhand,0.062353353542781806,0.029119783332323068,0.370811243417,1,1
60,lhand,0.06424119568351168,0.027501220703061116,0.3701958290010967,1,1
61,lhand,0.06667390827004283,0.027125248957256848,0.37122972577824664,1,1
62,lhand,0.0699225354769723,0.025465589862850427,0.372312348932518,1,1
