frame,body_part,x,y,z
0,lhand,0.0939275575369496,0.1004049082421023,-0.1222744127559722
1,lhand,0.10026558707129321,0.10209593596936034,-0.12031947813898572
2,lhand,0.10478259722059273,0.11183572629642488,-0.11900406179539781
3,lhand,0.10358918073594407,0.11231162878360117,-0.12191050305923992
4,lhand,0.10007036172169326,0.11179219837485933,-0.12545650071184639
5,lhand,0.09359778202660529,0.11170629083397594,-0.12861868941900467
6,lhand,0.08907339987411639,0.11259898221298913,-0.12833206088190685
7,lhand,0.08625592642708162,0.11358337633002111,-0.12813703028249818
8,lhand,0.0865573457588002,0.11627591172601216,-0.12723866891127825
9,lhand,0.08490392963791263,0.11678176814379766,-0.1270156133204569
10,lhand,0.08083294146773005,0.11311570746019056,-0.1265252117973828
11,lhand,0.0792342013430471,0.10894930620811322,-0.12675544905882757
12,lhand,0.07929576975766982,0.10696715019595493,-0.12677906460199312
13,lhand,0.07911653325049472,0.10091399551356871,-0.1270392943701051
14,lhand,0.07868689784818436,0.09517197922008994,-0.12867739882685858
15,lhand,0.07976688165462302,0.09071689714614556,-0.1280111886892118
16,lhand,0.08088125526081939,0.08748967160397725,-0.1277019256851465
17,lhand,0.0838869617119041,0.08548290194822564,-0.125766191854027
18,lhand,0.09056243121552822,0.08561655663546874,-0.12218830996777799
19,lhand,0.10215159193846353,0.0845512807148326,-0.11380511932024458
20,lhand,0.11506879239516098,0.08382395477996807,-0.10341982476406611
21,lhand,0.1284010748150141,0.0833119949563843,-0.09060499842641478
22,lhand,0.14026600480912582,0.0789830867583578,-0.07768214892015318
23,lhand,0.14859957087953501,0.07828850910134952,-0.06451058580057635
24,lhand,0.15556282562653265,0.07455614724161062,-0.052601597589923166
25,lhand,0.15810355298381434,0.07444931897003543,-0.044659396749906786
26,lhand,0.158916213571735,0.07262398864127047,-0.03970083979755808
27,lhand,0.15964145763504334,0.07304825755086819,-0.03745195565071882
28,lhand,0.15868835323544525,0.07230611882385865,-0.03628611768255939
29,lhand,0.15927676238980176,0.0718647254708917,-0.03514995975682343
30,lhand,0.15892315836384735,0.0707048756467147,-0.03491791538427025
31,lhand,0.15789870452533938,0.07052325613331814,-0.03251015174691203
32,lhand,0.15695032031748607,0.06981831340544818,-0.027816372748039112
33,lhand,0.15713924059858142,0.06972978953465869,-0.022391520850492903
34,lhand,0.1552402150765994,0.0672162717923939,-0.01660398394846814
35,lhand,0.1543124529037061,0.06803032063232839,-0.007999870117147756
36,lhand,0.15224709046533805,0.07028886411526676,0.00442877130686346
37,lhand,0.15336964853586027,0.07874417892437355,0.02507992876829173
38,lhand,0.15516277458919858,0.08851864312250463,0.053376646247481695
39,lhand,0.1506455701182902,0.10316990168975249,0.08766297709186967
40,lhand,0.14577865476484597,0.11618466312744744,0.12682883742966364
41,lhand,0.13660187494464948,0.12356187285424,0.16622300979197496
42,lhand,0.12840586365766093,0.123269713130708,0.20037755317727254
