frame,body_part,x,y,z,left_contact,right_contact
0,lhand,-0.041438026871509784,0.1747788229261113,0.3673691330391926,1,1
1,lhand,-0.046150115981055034,0.1776010591229761,0.3657258698781325,1,1
2,lhand,-0.04396103372450387,0.17895306805657385,0.36420273409948845,1,1
3,lhand,-0.046391327812920026,0.17832423884707785,0.3652448361802048,1,1
4,lhand,-0.04325108833340188,0.17680486252298924,0.3671380266994285,1,1
5,lhand,-0.040767643231626884,0.1737728185036615,0.36923620960477915,1,1
6,lhand,-0.0409691142008469,0.17185686329668337,0.37113972604438633,1,1
7,lhand,-0.04041496296228464,0.17086934657252634,0.3726955889184939,1,1
8,lhand,-0.03963500321783561,0.17149816684937869,0.3734554350885927,1,1
9,lhand,-0.040453692826141315,0.17071667213261305,0.3746044497547548,1,1
10,lhand,-0.03911021235933779,0.16924001298892893,0.3762007495397476,1,1
11,lhand,-0.037932962069234265,0.16771280991848045,0.378062476839646,1,1
12,lhand,-0.03611906355419574,0.16505707549207874,0.380326720517842,1,1
13,lhand,-0.03188170883454358,0.16285874011738055,0.3824844419510124,1,1
14,lhand,-0.029826751496297915,0.16149489571055503,0.3835308384129209,1,1
15,lhand,-0.02680602224277468,0.16111473139586036,0.38410292550123093,1,1
16,lhand,-0.023791549908715823,0.16195140750037113,0.38397876273779513,1,1
17,lhand,-0.02086314956645315,0.1652784629662964,0.382106735308838,1,1
18,lhand,-0.016289263296639662,0.1701055756221134,0.37942149204917075,1,1
19,lhand,-0.012422652739965047,0.17489212258089049,0.37652637804043965,1,1
20,lhand,-0.009312295937306161,0.18049324550184248,0.372820007817668,1,1
21,lhand,-0.005882258134231771,0.18472869447975568,0.36992767101371293,1,1
22,lhand,-0.003324307793023675,0.1882343356539306,0.36749555560936653,1,1
23,lhand,0.000912795536679202,0.1909991783815821,0.36548487895378967,1,1
24,lhand,0.011010639006471309,0.19275630324361945,0.36375928208151664,1,1
25,lhand,0.02061453582668707,0.1936747771490328,0.3626052398551166,1,1
26,lhand,0.03374635438521706,0.19315414645493123,0.3611527310996563,1,1
27,lhand,0.04566583678544876,0.1926460056497867,0.3595537821916786,1,1
28,lhand,0.058504765484847704,0.18989157117485064,0.35809373496779234,1,1
29,lhand,0.06968724640308055,0.1852473672921189,0.35728488155224175,1,1
30,lhand,0.07676613405908778,0.1829731185343349,0.35631836682504403,1,1
31,lhand,0.0833122073468455,0.18198372520108094,0.3539482544907372,1,1
32,lhand,0.08972610477047231,0.18211854743618652,0.3500500601565596,1,1
33,lhand,0.09723659112975679,0.18364369846343348,0.34373884003901445,1,1
34,lhand,0.10370357395904546,0.1870762766765505,0.3361173853242894,1,1
35,lhand,0.11337567346925363,0.18964371877791647,0.32475829123072203,1,1
36,lhand,0.12473089734354836,0.1943704374537488,0.30972877066192295,1,1
37,lhand,0.13310538327976573,0.20004017176936478,0.29059751334535766,1,1
38,lhand,0.13919782332711922,0.20618655100675243,0.2700641916440751,1,1
39,lhand,0.1418108508179017,0.21309148120040222,0.2510643064809689,1,1
40,lhand,0.14471580561377462,0.2165062510858542,0.2364632458705257,1,1
