frame,body_part,x,y,z,left_contact,right_contact
0,lhand,-0.0008921228418951946,0.19174468455710542,-0.08018827550730935,1,1
1,lhand,0.00031896200101037137,0.19118017366823126,-0.08016447511694774,1,1
2,lhand,0.0020781836221906574,0.19073133221563524,-0.07968865147553977,1,1
3,lhand,0.002141312527336993,0.19021318643370955,-0.07906283938792592,1,1
4,lhand,0.004729633894467372,0.1888540715601596,-0.07908305336286432,1,1
5,lhand,0.004060694924503366,0.189401638486138,-0.07932750646159722,1,1
6,lhand,0.004554015715462205,0.18772293641702253,-0.08043582916695746,1,1
7,lhand,0.004707042335087015,0.1862983098173902,-0.08151498079557833,1,1
8,lhand,0.004791463683532539,0.18492639166318486,-0.08250752610850855,1,1
9,lhand,0.004509885110678326,0.18379392443186174,-0.08355648415681872,1,1
10,lhand,0.00443024273644646,0.18292276776375224,-0.0840774714937836,1,1
11,lhand,0.004262895209602352,0.1827479683041455,-0.0839246076818264,1,1
12,lhand,0.003921579166042251,0.18280821068457312,-0.08355714000044882,1,1
13,lhand,0.0038173658490008797,0.18260261397647148,-0.08334416064259903,1,1
14,lhand,0.003256990484683378,0.1827346160897869,-0.08282493140865094,1,1
15,lhand,0.0030081423182672165,0.18312160961720414,-0.08216810871443996,1,1
16,lhand,0.0031390275061570355,0.18379213944893136,-0.08125083078708943,1,1
17,lhand,0.0034163401879626284,0.18452441839487452,-0.08007381976866378,1,1
18,lhand,0.0036124371019423535,0.1850298826669977,-0.07961402028274926,1,1
19,lhand,0.0039519195484908065,0.18540604322614812,-0.07921351727329427,1,1
20,lhand,0.004611986098961678,0.18600834033883537,-0.07837846196993853,1,1
21,lhand,0.005541253403788957,0.18673044140153863,-0.07761572346889153,1,1
22,lhand,0.006598616449728985,0.18706676604045605,-0.07687106001984956,1,1
23,lhand,0.007605232168369634,0.18783917837806305,-0.07551105791724437,1,1
24,lhand,0.008345252519095236,0.18855724431244936,-0.07460560116168273,1,1
25,lhand,0.009323208439835716,0.18949228870365079,-0.07355951475391875,1,1
26,lhand,0.00984089858827382,0.19078593144505107,-0.07206161035212191,1,1
27,lhand,0.010649871552357512,0.19129395903112698,-0.07125585308959047,1,1
28,lhand,0.011942255093308922,0.19174987749641995,-0.07053036910801382,1,1
29,lhand,0.013204380289929485,0.1925405747695395,-0.06958521708351074,1,1
30,lhand,0.015574726564405623,0.1927358660806028,-0.06852109255325646,1,1
31,lhand,0.01930490855403283,0.192807951880141,-0.06695407822323485,1,1
32,lhand,0.023821775257890032,0.1923812876977393,-0.06350778191445226,1,1
33,lhand,0.03175426015542679,0.19144166168086632,-0.05878299681991664,1,1
34,lhand,0.03937821323791424,0.18833402372206717,-0.050821699554954275,1,1
35,lhand,0.05343354066407859,0.1834480210182991,-0.03859105370598816,1,1
36,lhand,0.0678265454659267,0.1762680124765677,-0.02165326722421907,1,1
37,lhand,0.08504597589431781,0.16815153870946742,-0.0006904789834260572,1,1
38,lhand,0.1011911439068521,0.1605091039298439,0.02400872318761165,1,1
39,lhand,0.1167797207268077,0.15027089323792417,0.053685252287042504,1,1
40,lhand,0.12877584385355229,0.14045295853715672,0.08499679397337814,1,1
41,lhand,0.13625862437807745,0.12808722469048386,0.1117420628691819,1,1
42,lhand,0.14191667573174815,0.11596649257814913,0.13429572218337593,1,1
43,lhand,0.14826044227372834,0.10401175325419128,0.1490229873962991,1,1
44,lhand,0.1525193318894286,0.0929801962634999,0.16087243470270463,1,1
45,lhand,0.15489590825176083,0.08367105083386922,0.16973929324531267,1,1
46,lhand,0.15499880383156467,0.07666684715833627,0.1767893623053829,1,1
47,lhand,0.15350213227407944,0.07301392160545617,0.18436847359372416,1,1
48,lhand,0.15183027081221082,0.07540670775576634,0.19031835706767436,1,1
49,lhand,0.14774953234591975,0.08461970441551074,0.1977386658550755,1,1
50,lhand,0.14536756679011403,0.10256890829484239,0.20177501907284315,1,1
51,lhand,0.14032114541967128,0.1266851598268345,0.20284720500308895,1,1
52,lhand,0.13540809917963073,0.15502118858933445,0.1972825485274758,1,1
53,lhand,0.1304061061463636,0.18124035412485945,0.18890881218511132,1,1
54,lhand,0.12079469773088021,0.20171186202946206,0.17934820960162345,1,1
55,lhand,0.11309433812657177,0.21512517089203329,0.17036042547423813,1,1
56,lhand,0.10516987750141137,0.22458468774910323,0.16464104983719907,1,1
57,lhand,0.09971731635905426,0.22897081970694214,0.15899545385030833,1,1
58,lhand,0.09431739365078652,0.23110502792515147,0.1543161180436716,1,1
59,lhand,0.08901160282524462,0.23358793065536407,0.1525067952048334,1,1
60,lhand,0.08680272457714704,0.2356368201539795,0.14938201577320703,1,1
61,lhand,0.08655016416799823,0.23649440075836672,0.14738599730148405,1,1
62,lhand,0.08807547120294935,0.2362058988234464,0.14603155750426056,1,1
63,lhand,0.089693451913926,0.2339890627183716,0.14396003297179735,1,1
64,lhand,0.09368980855380947,0.22760287893399345,0.1454269550823204,1,1
65,lhand,0.09939811939725565,0.21577297226472325,0.14971889971411673,1,1
66,lhand,0.10839989168701852,0.1968021830518995,0.1554063137781581,1,1
67,lhand,0.11956950879697609,0.17090455294306636,0.15891662023975783,1,1
68,lhand,0.1306522624485787,0.14303392163303186,0.15632283427341176,1,1
69,lhand,0.13639419897867647,0.11690270388702498,0.14895069449157333,1,1
70,lhand,0.14072245633578792,0.09578462929513154,0.13964371159510658,1,1
71,lhand,0.1402383768778575,0.08162860482416186,0.1305375547857554,1,1
72,lhand,0.1380573219603973,0.07464878774225328,0.12621807099249313,1,1
73,lhand,0.13645381295380066,0.07302181612672053,0.121929661685308,1,1
74,lhand,0.13469768647505742,0.0757716192145891,0.1168432249581928,1,1
75,lhand,0.1335602796133148,0.0809708849141523,0.10983608898054784,1,1
76,lhand,0.13090202055773392,0.08800418420676492,0.10104405833452117,1,1
77,lhand,0.12976392406698295,0.09569636332462032,0.09046245266599026,1,1
78,lhand,0.12682553733040086,0.1048907098031813,0.07754110332166136,1,1
79,lhand,0.1221162696005064,0.11402123931659883,0.06361648899412978,1,1
80,lhand,0.11572852970620498,0.12416289283172832,0.049323488691782505,1,1
81,lhand,0.10676548896347343,0.13279929889641653,0.03295771064832142,1,1
82,lhand,0.09808150024451597,0.1407142006681746,0.01730738047497506,1,1
83,lhand,0.08715558380446191,0.1496981482898108,0.0007389516801088181,1,1
84,lhand,0.07382947614535773,0.15763379521473728,-0.01572543916654369,1,1
85,lhand,0.06000455645127913,0.16415655415742086,-0.03079555303779507,1,1
86,lhand,0.04625698732746219,0.17031303605568182,-0.04381985823207547,1,1
87,lhand,0.034312905117896315,0.17579743522212715,-0.053159632630841544,1,1
88,lhand,0.023643117981668668,0.17903238721544923,-0.06098663592746524,1,1
89,lhand,0.01663622425773159,0.18115758088106157,-0.0660675998151135,1,1
90,lhand,0.013071784397248654,0.18281352618439933,-0.06949056631827366,1,1
