frame,body_part,x,y,z
0,lhand,0.0314978963822703,0.18423133896515587,-0.045408842167609376
1,lhand,0.031049384759481415,0.18174181063612643,-0.04666301897807179
2,lhand,0.03453318220469793,0.17748471266222263,-0.04709506587995067
3,lhand,0.03477337494934525,0.17527414244032755,-0.04655694918105226
4,lhand,0.036379160739116415,0.17280438781492743,-0.0457210618651311
5,lhand,0.03698388521747652,0.17149204922357167,-0.045362784814051496
6,lhand,0.03730631164950278,0.17042597101155307,-0.045257878388766576
7,lhand,0.038445721123959886,0.17056254811753846,-0.044531171975148956
8,lhand,0.03982026555406523,0.1713692842490952,-0.04370719046941185
9,lhand,0.04089664283155376,0.17209120832364339,-0.043325381794222226
10,lhand,0.04118317328900087,0.17206643169661398,-0.04317685532685246
11,lhand,0.04087412184575043,0.17178221821540277,-0.04374782098432384
12,lhand,0.0408238484078602,0.1713614531211973,-0.044318858024771354
13,lhand,0.04108000461936357,0.1698788585130786,-0.045299582618417794
14,lhand,0.041424017888207,0.1685194147040704,-0.04652753767357831
15,lhand,0.040540705983672994,0.1675694509941106,-0.0476346442377651
16,lhand,0.03949527417669249,0.16699211139632522,-0.04883295699720208
17,lhand,0.03777792579111306,0.16739997039260732,-0.04949063932168739
18,lhand,0.03658678234100319,0.16782415808940557,-0.05008597888019027
19,lhand,0.03505243804428178,0.16886170286789273,-0.050074001039740815
20,lhand,0.03419834523735331,0.16989458809497401,-0.04991960876139878
21,lhand,0.03346083225389044,0.1709722188913459,-0.049680168553789664
22,lhand,0.033440493632897396,0.17208320710170014,-0.048707068985660296
23,lhand,0.03335861919369798,0.17259659937231964,-0.047980346475115704
24,lhand,0.03353328746998112,0.17302222451398275,-0.04735904669873285
25,lhand,0.03362374453457445,0.17310529266449198,-0.046860335182488014
26,lhand,0.03435853021557852,0.173287115757301,-0.04628602790261936
27,lhand,0.034669248832834024,0.17306787291114512,-0.046367145212896796
28,lhand,0.035334581071062826,0.17297264793382044,-0.04637124401187673
29,lhand,0.03548347391171853,0.17280000765116357,-0.04648030701380851
30,lhand,0.03598333221844347,0.1724711159121113,-0.046300944689848036
31,lhand,0.03620597941162746,0.17260781219244717,-0.04550258958159166
32,lhand,0.035774905763458646,0.17200545338652345,-0.0453966098503351
33,lhand,0.0353452636422023,0.17149629147191403,-0.04542445261588983
34,lhand,0.03393822812373604,0.17074504727471204,-0.0454388842449855
35,lhand,0.03278571032515582,0.17065696256565444,-0.04498422474392211
36,lhand,0.03173021838994926,0.17020877640855897,-0.044145209328146834
37,lhand,0.03132320321370742,0.16946018913826283,-0.0432913557605822
38,lhand,0.030292149459557598,0.16901826001096487,-0.042470791811972095
39,lhand,0.030335094389801517,0.16835691533532537,-0.04172809657920874
40,lhand,0.030539527814546802,0.16870713481168753,-0.04050086750911648
41,lhand,0.030768666920028838,0.16908125192053292,-0.039076079129126876
42,lhand,0.03098387461105126,0.16950287273569506,-0.03872783898399096
43,lhand,0.031099807785616905,0.16953539364305634,-0.03894660431827826
44,lhand,0.03140734003224714,0.17025087599577202,-0.03890845940260823
45,lhand,0.03193294093121303,0.17081460413368066,-0.038928228829324396
46,lhand,0.032432902468700384,0.17134618734922016,-0.03896424305636062
47,lhand,0.03288050153612971,0.17128593362060926,-0.03934473517489248
48,lhand,0.032881836776815714,0.1707548033377947,-0.039990702169640485
49,lhand,0.03285010052192885,0.17016760220738528,-0.04053523860896699
50,lhand,0.03328458369522114,0.16923701063941565,-0.041151091269495746
51,lhand,0.03325123257652277,0.1692552297620996,-0.04178093437564258
52,lhand,0.03352724129845526,0.1693081602278775,-0.04210639087890877
53,lhand,0.03475463661196345,0.1694367530833079,-0.04197018090499921
54,lhand,0.036653870569211065,0.17032647994796551,-0.039530257022362514
55,lhand,0.041731858793648734,0.17125151156069487,-0.035213201347894824
56,lhand,0.046653650915585605,0.17155988451083673,-0.028183866615469684
57,lhand,0.0553630325094408,0.1712317862268746,-0.01853488939727839
58,lhand,0.06517747150453351,0.16909316640977476,-0.004202262826986998
